customer_id,frequency,recency,T,monetary_value,expected_purchases_endof2012,expected_clv_endof2012,p_alive,churn,estimated_transaction_value,r_quartile,f_quartile,m_quartile,RFMScore
12346.0,7.0,400.0,725.0,11066.637142857144,3.603793127823243,16552.591131461195,0.5111903575441464,High Churn Risk,9520.52948163354,2,3,3,233
12347.0,7.0,402.0,404.0,717.3985714285712,6.341062878161503,3644.4116854681183,0.9860024659240508,Not Churned,672.7406833895554,2,3,3,233
12348.0,4.0,363.0,438.0,449.30999999999995,3.6416740586070095,1391.1213709902268,0.9479684739527945,Not Churned,440.2127575312291,2,2,3,223
12349.0,3.0,571.0,589.0,1120.0566666666664,2.2315143689887,1900.5391455190818,0.9649799506398574,Not Churned,918.5313230889728,3,2,3,323
12352.0,8.0,356.0,392.0,338.26125,7.3307267676597885,2132.064799884363,0.9759738459267361,Not Churned,347.4818292031712,2,3,2,232
12353.0,1.0,204.0,408.0,89.0,1.4288795001227599,309.1687568403474,0.7375763893521107,High Churn Risk,263.05451052239846,1,0,1,101
12355.0,1.0,353.0,567.0,459.40000000000003,1.0813460870327427,420.580098971509,0.7936506814495633,Not Churned,432.35049155729166,2,0,3,203
12356.0,5.0,402.0,424.0,1092.6480000000001,4.527911155362694,3791.558869806385,0.9752144697317224,Not Churned,961.5197413818454,2,2,3,223
12357.0,1.0,355.0,388.0,6207.670000000001,1.515599573913569,4533.929045543585,0.8947821722914908,Not Churned,3059.6696300655135,2,0,3,203
12358.0,4.0,730.0,731.0,614.31,2.3195654551564187,1210.0154443799008,0.976313406079542,Not Churned,567.4322512749935,3,2,3,323
12359.0,9.0,677.0,734.0,908.3611111111113,4.704687625083217,3457.407637791611,0.9781004709299269,Not Churned,850.204286219725,3,3,3,333
12360.0,7.0,603.0,655.0,590.6985714285713,4.153071451540017,2042.0684619876015,0.9754765797809332,Not Churned,564.4221019789067,3,3,3,333
12361.0,3.0,395.0,682.0,134.01666666666668,1.9343861621148686,321.3457385770926,0.7989806635489731,Not Churned,212.17941190941525,2,2,1,221
12362.0,10.0,735.0,738.0,522.6229999999999,5.161669459300236,2291.4837346620598,0.9901000698216538,Not Churned,510.62048088402935,3,3,3,333
12363.0,1.0,133.0,242.0,252.90000000000003,2.193482913537314,625.3089088893317,0.7958265780663469,Not Churned,337.96706800517114,1,0,2,102
12364.0,3.0,105.0,112.0,229.7266666666667,7.977482017557977,1793.4121366454615,0.9639418286597052,Not Churned,280.741479796109,1,2,2,122
12369.0,2.0,228.0,641.0,721.415,1.469383622903422,511.18671294928197,0.5440460846724854,High Churn Risk,605.2173449126497,1,1,3,113
12370.0,5.0,617.0,668.0,751.47,3.036896679376021,1856.6308309295741,0.9708088705609151,Not Churned,685.8374648283764,3,2,3,323
12371.0,3.0,601.0,645.0,1153.2333333333338,2.056835625019363,1796.4298289489873,0.9593556755660776,Not Churned,942.2975008369016,3,2,3,323
12372.0,2.0,225.0,296.0,449.40999999999997,2.943646459756784,1126.1328383709188,0.9117926709757163,Not Churned,434.5681092704118,1,1,3,113
12373.0,2.0,362.0,673.0,344.875,1.4421740859508596,424.8041424308701,0.7726920117965886,Not Churned,368.98542568789924,2,1,2,212
12374.0,2.0,563.0,588.0,800.3399999999999,1.6485281221658958,1035.2135232228638,0.9475967379643215,Not Churned,654.732945445962,3,1,3,313
12375.0,1.0,88.0,98.0,227.2,4.082662406987209,1140.0434968025356,0.8991082806399935,Not Churned,326.2205596018322,1,0,1,101
12376.0,1.0,28.0,417.0,70.6,1.2121687684817637,95.81570363688407,0.24015095655913288,Churned,254.64455898070833,1,0,1,101
12377.0,3.0,274.0,589.0,738.4533333333333,2.1784886089149165,922.0958491053246,0.666558172072781,High Churn Risk,645.1689404143453,2,2,3,223
12378.0,1.0,433.0,562.0,4008.620000000004,1.0965197841687786,2168.351635686431,0.854804370655115,Not Churned,2054.566155187594,2,0,3,203
12379.0,3.0,453.0,534.0,417.5800000000001,2.430153460521332,911.1990579327023,0.9438010357464179,Not Churned,415.3106260999614,2,2,3,223
12380.0,7.0,641.0,662.0,951.2857142857143,4.115464374588863,3152.8844136280386,0.982899776928292,Not Churned,872.695880899228,3,3,3,333
12381.0,4.0,115.0,119.0,144.14249999999998,9.703132071377656,1570.9768779197586,0.9740504092551847,Not Churned,204.9203038521369,1,2,1,121
12383.0,4.0,168.0,352.0,312.46000000000004,4.285042792950062,929.9717494588346,0.7044609107474631,High Churn Risk,334.69768044738584,1,2,2,122
12384.0,1.0,93.0,121.0,292.58000000000004,3.590978092005592,1097.6579459375507,0.8786688091677091,Not Churned,356.1033113298595,1,0,2,102
12386.0,1.0,29.0,366.0,143.0,1.396882321685933,146.75085397048372,0.2946464650103223,Churned,287.73589004692394,1,0,1,101
12388.0,7.0,567.0,582.0,491.3557142857143,4.618042402417829,1931.821043718372,0.9836960020252843,Not Churned,479.4917360831291,3,3,3,333
12389.0,2.0,253.0,655.0,634.2400000000001,1.4505647180449104,495.7952221374437,0.5907403961931783,High Churn Risk,550.525897633695,2,1,3,213
12391.0,4.0,641.0,662.0,515.2574999999999,2.5365822321209777,1135.3458879672446,0.9726670387010806,Not Churned,491.0600760989073,3,2,3,323
